,Hotel name,Address,Price (avg/night),Facilities,Rating,Reviews,Likes
333,BT International Hotel," Port Harcourt, Rivers - 7, UOE Road",no price,"
",no rating,no review,"

2"
334,J Egbo Hotel,"Port Harcourt, Rivers - 43 Okeoro Road, Rumougba",6000,"
",no rating,no review,"

2"
335,Campas Hotel ,"Port Harcourt, Rivers - KM 18, Airport Road, By Total Filling Station, Rukpoku",6000,"
",no rating,no review,"

2"
336,Royal White Suite,"Port Harcourt, Rivers - 22 Ohia Street, Old GRA.",no price,",Restaurant,
Bar

",no rating,no review,"

2"
337,Decan Hotels,"Port Harcourt, Rivers - Behind Adamac, Chief John E. Onukem Close, East West Road",3500,"
",no rating,no review,"

2"
338,Molit Hotels ,"Port Harcourt, Rivers - 45, Okporo Road, Rumuogba, Port Harcourt, Rivers State, Nigeria.",no price,",Restaurant,
Bar

",no rating,no review,"

2"
339,Munquie's Hotel,"Port Harcourt, Rivers - 20 Rumuokpachi Off Uniport Road ",4000,"
",no rating,no review,"

2"
340,Ingot Hotel,"Port Harcourt, Rivers - 105 Ikwere Road ",no price,"
",no rating,no review,"

2"
341,Safar Hotel,"Port Harcourt, Rivers - Rumuigbo, Port Harcourt, Rivers ",no price,"
",no rating,no review,"

2"
342, Point Bar Hotel,"Port Harcourt, Rivers - No 1 Aligigi Estate, Opposite White House, Rukpokwu",4000,"
",no rating,no review,"

2"
343,Ben World Hotel,"Port Harcourt, Rivers - 12 Chioma Avenue, Rumugba",3000,"
",no rating,no review,"

2"
344,Geonocyn Hotels Limited,"Port Harcourt, Rivers - 63 Abacha Lane, GRA III",10000,",Restaurant,
Bar

",no rating,no review,"

2"
345,Goseg Hilton Hotels ,"Port Harcourt, Rivers - 5/6 Nta Road, Rumuokwuta, Port Harcourt, Rivers",no price,"
",no rating,no review,"

2"
346,Mission Hotels & Suites Limited,"Port Harcourt, Rivers - 5 Wobai/Jesus Avenue Off Ebon Road Orazi.",9300,"
",no rating,no review,"

2"
347,Mocan City Hotel,"Port Harcourt, Rivers - No 4 Okpozi Street Obio Akapor ",3000,"
",no rating,no review,"

2"
348,Tog Hotel,"Port Harcourt, Rivers - Yola Street, Old GRA,",no price,"
",no rating,no review,"

2"
349,GRAND VENICE HOTELS,"Port Harcourt, Rivers - Plot 19, Igwe Family Layout Rumuogba; Off Ecobank By Artillery Or By Mini-Ezekwu Street, Eliada Layout, Portharcourt, Rivers State.",no price,"
",no rating,no review,"

2"
350,Prince George Hotel,"Port Harcourt, Rivers - 28, Mbonu Street, D Line, Port Harcourt, Rivers",no price,",Restaurant,
Bar

",no rating,no review,"

2"
351,Christmas Village Hotels Nigeria Limited,"Port Harcourt, Rivers - RCCG Road, Eagle Island, Port Harcourt, Rivers",no price,"
",no rating,no review,"

2"
352,Peace Mark Hotel,"Port Harcourt, Rivers - Salvation Avenue, Rumuokoro, Port Harcourt, Rivers",no price,"
",no rating,no review,"

2"
353,The Pre-Eminence Hotel And Towers,"Port Harcourt, Rivers - 64 ,Old Refinery Road, Port Harcourt, Rivers, Nigeria",18000,"
",no rating,no review,"

2"
354,"BEST WESTERN, GRA Port Harcourt","Port Harcourt, Rivers - Plot F35, Woke Street, Off Abacha Road, GRA Phase 3",no price,"
",no rating,no review,"

2"
355,Linata First House And Suites,"Port Harcourt, Rivers - Air Port Road, Rupokwu, By Aluu Junction",6500,",Internet,
Restaurant,
Bar

",no rating,no review,"

2"
356,Doreana Hotels And Suites,"Port Harcourt, Rivers - Plot 208/201, Amadi Town, Trans-Amadi, Port Harcourt, Nigeria",no price,",Internet,
Restaurant,
Bar

",no rating,no review,"

2"
357,The Family House,"Port Harcourt, Rivers -  No 5 Prof Abowey Street GRA Phase 3, Rumuadaolu, Port Harcourt, Nigeria",7000,",Restaurant,
Bar

",no rating,no review,"

2"
358,Chisam Hotel Annex,"Port Harcourt, Rivers - 5 Chief Worlu Street Rumigbo ",8000,",Internet,
Restaurant

",no rating,no review,"

2"
359,Chanice Garden Hotel,"Port Harcourt, , Rivers - 94 Market Road Rumuomasi, ",6900,",Restaurant

",no rating,no review,"

2"
360,Le Pedro Hotel,"Port Harcourt, Rivers - 6 St. Stephen Street, Oyigbo",no price,",Restaurant,
Bar

",no rating,no review,"

2"
361,Tip Top Resort Hotel,"Port Harcourt, Rivers - No. 5, Orosi Avenue, Rumuigbo",no price,",Restaurant,
Bar

",no rating,no review,"

2"
362,Conris Place,"Port Harcourt, Rivers - Road 9, New Road, Okrika",no price,",Restaurant,
Bar

",no rating,no review,"

2"
363,Daras Hotel,"Port Harcourt, Rivers - 10B Atusiaka Street, Oyigbo, Obigbo",no price,",Restaurant,
Bar

",no rating,no review,"

2"
364,Crown Gate Guest House,"Port Harcourt, Rivers - No 2, Emmanuel Street Off Apara Link Road, Mgbuoba",no price,",Restaurant,
Bar

",no rating,no review,"

2"
365,TN Hotel,"Port Harcourt, Rivers - No 15 Elioparawo Road",no price,",Restaurant,
Bar

",no rating,no review,"

2"
366,Skills Hotels And Kitchen,"Port Harcourt, Rivers - 2 Elioparanwo Road, Mgbuoba",no price,",Bar

",no rating,no review,"

2"
367,Bonflo Guest House,"Port Harcourt, Rivers - 31, Odolokwu Road, Elelewon, Elelenwo",no price,",Restaurant,
Bar

",no rating,no review,"

2"
368,Memima Hotels,"Port Harcourt, Rivers - Anya Waterside, Rumuhagholu, Rumuokoro",no price,",Restaurant,
Bar

",no rating,no review,"

2"
369,Viaeny Suites,"Port Harcourt, Rivers - P2, Vianey Avenue, Umuahunwo, Aluu",no price,",Bar

",no rating,no review,"

2"
370,Favour Rich Lodge,"Port Harcourt, Rivers - Plot 3 Okporo Road Omuahunwo, Aluu",no price,",Restaurant,
Bar

",no rating,no review,"

2"
371,Kings View Guest House,"Port Harcourt, Rivers - 2, Amadi Close, Rumuodomaya",no price,",Bar

",no rating,no review,"

2"
372,Enijo Guest House,"Port Harcourt, Rivers - 8 Happy Street, Rumukpakolosi",no price,",Restaurant,
Bar

",no rating,no review,"

2"
373,Valandy Hotel,"Port Harcourt, Rivers - 4/6 Wizor Street Umuokiri, Choba",no price,",Restaurant,
Bar

",no rating,no review,"

2"
374,Obinos Hotel,"Port Harcourt, Rivers - No 5, Woherem Street, Mgbuoba",no price,",Restaurant,
Bar

",no rating,no review,"

2"
375,Dorachi Hotels,"Port Harcourt, Rivers - No 3 Agbuzor-Ihie Street, Aluu",no price,",Restaurant,
Bar

",no rating,no review,"

2"
376, Almet International Hotel Limited ,"Port Harcourt, Rivers - Port Harcourt Crescent,",no price,"
",no rating,no review,"

2"
377,Ozunma Hotels Limited ,"Port Harcourt, Rivers - 5 ,Odunonyoma Street, Rebisi",no price,"
",no rating,no review,"

2"
378,Aa-Place And Hotels ,"Port Harcourt, Rivers - 45 ,Winpey Road",no price,"
",no rating,no review,"

2"
379,Taland Place,"Port Harcourt, Rivers - 6-8 Emekuku Street, D Line, ",no price,"
",no rating,no review,"

2"
380,GrandVenice Hotel And Suites,"Port Harcourt, Rivers - Plot 19, Igwe Family Layout Rumuogba; Off Ecobank By Artillery Or By Mini-Ezekwu Street, Eliada Layout, Rivers State.",no price,"
",no rating,no review,
381,Creek Garden Hotel And Luxurious Apartment," Port Harcourt, Rivers - 22b Ohai Street, Old GRA, Off East By-pass,  Amadi Flats, Ogbunabali, Port Harcourt, ",13500,",Restaurant,
Pool,
Bar,
Gym

",no rating,no review,"

2"
382,Sovida Hotel,"Port Harcourt, Rivers - No. 24, Haeto Street, Elechi",no price,"
",no rating,no review,
383,Breezer Resort And Garden,"Port Harcourt, Rivers - ",no price,"
",no rating,no review,
384,New Grange,"Port Harcourt, Rivers - 26 Ogbogoro Rd, Rumu Opirikom, Port Harcourt",no price,"
",no rating,no review,
385,Shebet Apartments,"Port Harcourt, Rivers - 3, Idiagbon Street, Phase 2, GRA ",no price,"
",no rating,no review,
386,Oderi's Hotel,"Port Harcourt, Rivers - Along -Abonnema Road,Usokun, Degema",no price,"
",no rating,no review,
387,Skylyte Boutique Hotel,"Port Harcourt, Rivers - Plot 169B Chief Wonwu Avenue, Off Ordinance Road, Trans-Amadi Industrial Layout, Port Harcourt",no price,"
",no rating,no review,
388,Kelproshel Guest House,"Port Harcourt, Rivers - 67 Ogbonna Street, Eneka Road, Rumunduru, Rumuodara, Port Harcourt,",no price,"
",no rating,no review,
389,Hotel De Defama,"Port Harcourt., Rivers - ",no price,"
",no rating,no review,
390,ROW HOTELS AND SUITES,"Port Harcourt, Rivers - Off GU AKE Road, Airforce-Eliozu Link Road, Port Harcourt,",no price,"
",no rating,no review,
391,Daneto Hotel,"Port Harcourt, Rivers - 8 Rehoboth Drive Off Egbo-Etche Road Eleme Junction By Aba Road Port Harcourt",no price,"
",no rating,no review,
392,Leezon Hotel And Suites,"Port Harcourt, Rivers - KM 1.5 Ogbogoro/Eliparanwo, Off St John Junction, Iwefe, Rumuolumeni U.o.e Road, Port Harcourt",no price,"
",no rating,no review,
393,De'elites Pool Bar & Inn,"Port Harcourt, Rivers - School Road, Elelenwon, Port Harcourt",no price,"
",no rating,no review,
394,Palm Cambodiah Hotels & Bar,"Port Harcourt, Rivers - Elikpokwuodu, Aluu Road, Rukpokwu, Port Harcourt",no price,"
",no rating,no review,
395,London Base Hotel,"Port Harcourt, Rivers - 6 Man.O.War Road, Aluu, Port Harcourt",no price,"
",no rating,no review,
396,Row Hotels & Suites,"Port Harcourt, Rivers - 14 Rumumibo Lane Harmony Estate Building,Port Harcourt",no price,"
",no rating,no review,
397,Royal Charlin Hotel & Suites,"Port Harcourt, Rivers -  27 Presidential Estate, Behind House Of Assembly Qtrs. Port Harcourt",25000,",Restaurant,
Pool,
Bar

",no rating,no review,
398,TOP 2 HOTELS & SUITES,"Port -Harcourt, Rivers - 1 Charles Ogun Street, Mgboudohia, Rumuolumeni",4000,"
",no rating,no review,
399,Bayview Hotels (P.H),"Port Harcourt.  G R A  Phase 2, Rivers - 2a Location Road, Off Tombia Extension, Opposite Mandela Car Wash, G.R.A. Phase II",no price,"
",no rating,no review,
400, Franklin Hotel And Suites," Port Harcourt, Rivers - 10 Obaji Street, GRA Phase II",30000,",Restaurant,
Pool,
Bar,
Gym

",no rating,no review,"

2"
401,"Test 2 Apartments, PH","Port Harcourt, Rivers - ",no price,"
",no rating,no review,
402,M-Cube Boutique Hotel And Apartments,"Port Harcourt, Rivers - 22 Elizabeth Alfred Drive, Royal Avenue, Peter Odili Road,  500101, Port Harcourt",15000,",Restaurant

",no rating,no review,"

2"
403,Lucian Exclusive Hotel,"Port Harcourt, Rivers - No. 5 Hhs Chinwo Street, Paradise Estate, Gbalajam, Woji Elelenwo Link Road",25000,",Restaurant,
Bar

",no rating,no review,"

2"
404,Elites Poolbar & Lodge,"Port Harcourt, Rivers - 10 Enugu Street By Rumuobiokani/Trans-Amadi Roundabout, Port Hacourt",8050,",Internet,
Restaurant,
Pool,
Bar

",no rating,no review,"

2"
