,Hotel name,Address,Price (avg/night),Facilities,Rating,Reviews,Likes
55,Ayoluyem Suites,"Port Harcourt, Rivers - House 23 Deeper Life Avenue, Rumudomaya",7000,"
",no rating,no review,"

146"
56,Swiss International Mabisel Port Harcourt,"Port Harcourt, Rivers - 9 Mabisel Avenue Off Peter Odili Road",49900,",Internet,
Restaurant,
Pool,
Bar,
Gym

",no rating,4,"

423"
57,Ocabique Planet Hotel ,"Port Harcourt, Rivers - 5 Okah CloseBy Chinda, Off Stadium Road",6000,",Internet,
Restaurant,
Bar

",no rating,no review,"

343"
58,Dannic Hotels Port Harcourt,"Port Harcourt, Rivers - Plot 33, Circular Road, Presidential Estate, GRA,",20000,",Restaurant,
Bar

",no rating,6,"

162"
59,The Retreat Home,"Port Harcourt, Rivers - 13 Okrika Avenue, Rumuogba Estate",5000,",Restaurant,
Bar

",no rating,1,"

146"
60,Hotel De Excellence ,"Port Harcourt, Rivers - 3B Omerelu Street. GRA Phase I Behind Presidential Hotel.",7000,",Restaurant

",no rating,no review,"

138"
61,Mina Hotels,"Port Harcourt, Rivers - Trans-Amadi Road,",13500,",Restaurant,
Bar

",7.3 Very Good,7,"

207"
62,Mr Sweet Hotels Limited,"Port Harcourt, Rivers - 33A, Okporo Road, Artillery Junction, Rumuogba",4500,",Bar

",no rating,no review,"

84"
63,Dotnova Hotel,"Port Harcourt, Rivers - 453 Ikwerre Road, Rumuokwuta.",9500,",Internet,
Restaurant

",7.1 Very Good,2,"

101"
64,De-Wynn Hotel Limited ,"Port Harcourt, Rivers - 5, Khana Street, D/Line, GRA.",8000,",Restaurant,
Bar

",no rating,no review,"

43"
65,"Lakewood Hotel, PH","Port Harcourt, Rivers - No 30 Okabie Street (Agip Link Road), Off Chinda Road, Mile 4 Rumueme, Port Harcourt",4500,",Restaurant,
Bar

",6.3 Very Good,6,"

330"
66,Royal Crest Hotel And Suites,"Port Harcourt, Rivers - 2 Divine Grace Close Trans Woji",13500,",Internet,
Restaurant,
Bar

",no rating,no review,"

218"
67,Cloud 10 Suites,"Port Harcourt, Rivers - 7 Haruk Road, Off Obiwali Road, Rumuigbo",5000,",Bar

",no rating,no review,"

60"
68,The Golf Prince Hotel,"Port Harcourt, Rivers - 24 Abana Street, Golf Course Layout, Old GRA, Port Harcourt",16100,",Pool,
Gym

",no rating,no review,"

45"
69,The Crib Lifestyle Hotel  ,"Port Harcourt, Rivers - 17B William Jumbo Close, By Crib Hospital, Old GRA, Behind Government House",19000,",Bar

",no rating,2,"

226"
70,Eze Hotel ,"Port Harcourt, Rivers - No 15 East West  Road",4500,",Restaurant,
Bar

",no rating,4,"

90"
71,Compact Hotels Nigeria Limited,"Port Harcourt, Rivers - No 2 Chief Amos Wegwu Annex Off Alikor Estate. Uniport Road(Behind Genesis), Choba ",5000,",Bar

",7.6 Very Good,1,"

77"
72,Hetona Hotels Limited,"Port Harcourt, Rivers - 15 Elelenwo Road, Elelenwo",4000,",Restaurant,
Bar

",no rating,no review,"

38"
73,Paragon Garden ,"Port Harcourt, Rivers - 36 Orogbum Crescent, GRA Phase 2",18000,",Restaurant,
Pool

",6.4 Very Good,4,"

283"
74,Juanita Hotels,"Port Harcourt, Rivers - 47 Herbert Macaulay Street, Amadi Flats, Old GRA",45000,",Restaurant,
Pool,
Bar,
Gym

",no rating,2,"

144"
75,Bhanek Inn,"Port Harcourt, Rivers - Plot 5 Shell Location Off Tombia Extension,GRA Phase III.",10000,",Internet,
Restaurant,
Bar

",no rating,no review,"

27"
76,Odenu Hotel,"Port Harcourt, Rivers - No 17 Ohiamini Road Rumola Road ",7500,",Restaurant,
Bar

",no rating,1,"

144"
77,The Catalans Hotels ,"Port Harcourt, Rivers - Okuruoma, Off Dr. Peter Odili Road, Trans Amadi",5400,",Restaurant,
Bar

",no rating,1,"

107"
78,Benvindo Tropicana Hotel,"Port Harcourt, Rivers - No. 30/32 Ebony Road, Oroazi, Port Harcourt, Rivers",15000,",Internet,
Restaurant,
Bar

",no rating,no review,"

97"
